абажур|lampshade
аборт, неудача|abortion
абрикос|apricot
абрикосовый сок|apricot juice
абрикосы|apricots
абстрактная сделка|naked promise
абстрактный договор|naked contract
абсурдный|grotesque
аваль, поручительство в платеже|aval
аванс поставщику|advance to the supplier
аванс, досрочный платеж|prepayment
авансовый платеж|advance payment
аварийные затраты, аварийные издержки|accident costs
август|August
авеню|avenue
авиакомпания|air company
авиалиния|airline
авиапочта|airmail
авиапочта|air-mail
авиафрахт|air freight
авиационный|airborne
авиация|aviation
авизо о платежах|advise of payment
авизо|aviso
авокадо|avocado
австралийский|Australian
австрийский|Austrian
автоматизация|automation
автоматизированная система управления производством|numerical control
автоматизированный|automated
автоматическая пролонгация|tacit extention
автоматически возобновляемый аккредитив|revolving letter of credit
автоматически|automatically
автоматический|automatic
автоматическое расторжение договора|ipso facto avoidance of contract
автомобиль|auto
автомобиль|automobile
автомобиль|motor-car
автонакладная|road waybill
автономия|autonomy
автоответчик|answering machine
автор изобретения|author of an invention
автор|author
авторский|designer's
авторское право|copyright
авторское свидетельство|inventor's certificate
автофургон|van
авуары, активы|assets
агент - управляющий|managing agent
агент по рекламе|advertising agent
агент по сбыту|sales agent
агент фрахтователя|charterer's agent
агенты (от agent)|agents
аграрный|agrarian
агрессивное намерение|aggressive intent
агрессивный|aggressive
агрессия|aggression
агрессор|aggressor
Ада (язык программирования высокого уровня)|Ada
адвокат высшей категории|serjeant-at-law
адвокат, юрист|attorney
адвокат|attorney at law
адвокат|barrister
адвокат|barrister-at-law
адвокат|counsellor at law
адвокатская фирма|law factory
административная процедура|ministerial procedure
административное воздействие|administrative influence
административное выселение|administrative exile
административное деление|administrative division
административное рассмотрение дела|ministerial inquiry
административный|administrative
администратор в гостинице|receptionist
администратор магазина|store manager
администратор отдела|department manager
администратор|administrator
администрация доходов|receivership
адмиралтейство|admiralty
адоптивный закон|adoptive act
адресат оферты|offeree
адресованный груз|directed cargo
адресовать, обращаться|address
ажио, лаж|agio
азиат, азиатский|Asian
азот|nitrogen
АЗС|filling station
аист|stork
академический|academic
академия|academy
акация|acacia
акварель|water-colour
акватория порта|dock space
аккредитация|accreditation
аккредитив безотзывный|irrevocable letter of credit
аккредитив в наличной форме|cash letter of credit
аккредитив компенсационный|back-to-back letter of credit
аккредитив неподтвержденный|unconfirmed letter of credit
аккредитив подтвержденный|confirmed letter of credit
аккредитив чистый|clean letter of credit
аккредитив|letter of credit
аккредитив|letter of credit (L/C)
аккумуляция средств|accumulation of funds
аккуратный|orderly
акр|acre
акроним|acronym
акт государственной власти|act of prince
акт государственной власти|act of state
акт законодательный|legislative act
акт о конфискации груза|seizure note
акт о протесте|act of protest
акт об уступке|deed of cession
акт осмотра|report of survey
акт передачи, купчая|deed of convenant
акт сдачи-приемки|acceptance certificate
акт таможенного досмотра|customs surveyor report
акт экспертизы|certificate of expert's examination
акт экспертизы|examination report
акт|formal note
актер, деятель|actor
актив и пассив|assets and liabilities
активизировать|activate
активно, деятельно|actively
активный баланс|active balance
активный бизнесмен|thruster
активный, действующий|active
активы неликвидные|fixed assets
активы предприятия|assets of an enterprise
актриса|actress
акцепт условный|conditional acceptance
акцепт|bill of acceptance
акцептант|acceptor
акциз, акцизный сбор|excise duty
акции банковские|bank shares
акции без номинала|no-par stock
акции депонированные|deposited shares
акции обыкновенные|ordinary shares
акции предъявительские|bearer shares
акции, доли (от share)|shares
акции, фонды, запасы|stocks
акционер - бенефициар|beneficial owner
акционер|shareholder
акционерная компания|joint-stock company
акционерная компания|stock company
акционерное общество с ограниченной ответственностью|Limited (Ltd.)
акционерный капитал банка|bank stock
акционерный капитал|share capital
акционерный|shareholding
акционеры (от shareholder)|shareholders
акция без права голоса|nonvoting share
АЛГОЛ, язык программирования|ALGOL
алеаторный договор|hazardous contract
алжирец, алжирский|Algerian
алиментные обязательства|maintenance obligations
алиментный|alimentary
алкоголик|inebriate
алкогольный|alcoholic
аллергия|allergy
аллея|parkway
аллонж|allonge
алмаз, бриллиант|diamond
альбом|album
альпийский|Alpine
альпинизм|mountain-climbing
альтернат|alternate precendence
альтернативный судебный приказ|alternative writ
альтернативный|disjunctive
альфа-частица, альфа|alpha
амбар|barn
Америка|America
американец, американский|American
амнистия|amnesty
амортизатор|shock absorber
амортизация, амортизационное списание|amortization
анализ безубыточности|break-even analysis
анализ доходов и расходов|income-expenditure analysis
анализ спроса|demand analysis
анализ экономический|business economics
анализ|analysing
анализ|analysis
анализ|analyzing
анализировать|analyse
анализировать|analyze
аналитик|system analyst
аналитический|analytical
аналоги|analogues
аналогичный|on all fours
ананас|pineapple
ананасовый сок|pineapple juice
анархист|anarchist
ангел|angel
английский язык, английский|English
англиканский|Anglican
англичанин|Englishman
Англия|England
ангольский|Angolan
анемон|anemone
Анна|Ann
аннотации|annotations
аннулирование заказа|cancellation of an order
аннулирование контракта|cancellation of a contract
аннулирование лицензии|cancellation of a license
аннулирование, отмена|cancellation
аннулирование|invalidation
аннулирование|nullification
аннулирование|repeal
аннулировать аллонж|annul an allonge
аннулировать, отменять|cancel
аннулировать|disannul
аннулировать|overrule
аномалия|anomaly
анонимный|anonymous
анонс|advance advertisement
ансамбли (от band)|bands
антагонизм|antagonism
антенна (ам.)|TV antenna
антенна (бр.)|TV aerial
антидемпинговая пошлина|anti-dumping duty
анютины глазки|pansy
апатрид|Apatride
апеллянт|advocator
апеллянт|appellant
апелляционная жалоба|reclaiming bill
апелляционный суд|court of appeal
апелляционный судья|judge of appeal
апелляционный судья|justice of appeal
апелляция в суд|appeal to court
апельсин, оранжевый|orange
апельсиновый сок|orange juice
апельсины (от orange)|oranges
аппарат, прибор, оборудование|apparatus
аппаратура, технические средства|hardware
апрель|April
апробация|practical approval
аптека|drugstore
аптечка|medicine chest
араб|Arab
арак (спиртной напиток из риса)|arrack
арахис|peanut
арахис|peanuts
арбитр|arbitrator
арбитр|daysman
арбитраж валютный|arbitrage of exchange
арбитраж многосторонний|compound arbitration
арбитраж товарный|arbitrage in goods
арбитраж|Arbitrage
арбитраж|arbitration
арбитраж|arbitration tribunal
арбитражная комиссия|board of arbitration
арбитражная сделка|arbitrage
арбитражное производство|arbitral justice
арбитражное процессуальное право|law of arbitral procedure
арбитражные издержки|cost of arbitration
арбитражный (от arbitrate)|arbitrated
арбитражный процесс|arbitral procedure
арбуз|watermelon
аргументация истца|plaintiff's case
аргументы|arguments
аренда земли под застройку|building lease
аренда, сдавать в аренду|lease
аренда, снятие комнаты|renting
арендатор|leaseholder
арендатор|renter
арендатор|tenant
арендаторы|tenantry
арендная плата|rent charge
арендное право|leasehold interest
арендные права на недвижимость|chattels real
арендованный|tenanted
арендодатель, сдающий в аренду|lessor
арест на груз|arrest of cargo
арест, арестовывать|arrest
арестный дом|lock-up
арифметико-логический|arithmetic-logical
арифметико-логическое устройство|ALU
арифметический|arithmetic
арка, дуга|arch
армия|army
арсенал|arsenal
артиллерия|artillery
артистический|artistic
артишок|artichoke
архив|archives
архив|cartulary
архиепископ|archbishop
архиепископ|primate
архитектор|architect
архитектура, структура|architecture
архитектурно|architecturally
ассемблер|assembler
ассигнования на капиталовложения|capital appropriations
